ts,role,pid,cpu_pct,rss_kb,pss_kb,private_dirty_kb,threads,fd_count
1782046459057,streamd,2098436,6.69,98516,92739,60828,5,18
1782046459057,qemu,2098448,21.01,4369060,4358129,4252192,14,120
1782046460102,streamd,2098436,5.74,98516,92741,60828,5,18
1782046460102,qemu,2098448,96.65,4369060,4358210,4252192,14,120
1782046461157,streamd,2098436,5.69,98516,92746,60828,5,18
1782046461157,qemu,2098448,28.44,4369060,4358375,4252192,14,120
1782046462202,streamd,2098436,5.74,98516,92743,60828,5,18
1782046462202,qemu,2098448,6.70,4369060,4358131,4252192,14,120
1782046463246,streamd,2098436,5.75,98516,92750,60828,5,18
1782046463246,qemu,2098448,7.66,4369060,4358377,4252192,14,120
1782046464292,streamd,2098436,5.74,98516,92735,60828,5,18
1782046464292,qemu,2098448,11.47,4369060,4358173,4252192,14,121
1782046465338,streamd,2098436,6.69,98516,92745,60828,5,18
1782046465338,qemu,2098448,68.83,4369060,4358375,4252192,14,120
1782046466391,streamd,2098436,4.75,98516,92748,60828,5,18
1782046466391,qemu,2098448,132.00,4369060,4358375,4252192,14,120
1782046467437,streamd,2098436,5.74,98516,92748,60828,5,18
1782046467437,qemu,2098448,15.30,4369060,4358375,4252192,14,120
1782046468482,streamd,2098436,5.74,98516,92746,60828,5,18
1782046468482,qemu,2098448,5.74,4369060,4358377,4252192,14,120
1782046469528,streamd,2098436,5.74,98516,92749,60828,5,18
1782046469528,qemu,2098448,11.47,4369060,4358381,4252196,14,120
1782046470572,streamd,2098436,5.75,98516,92750,60828,5,18
